scan_date,ticker,report_date,days_since_earnings,earnings_selloff_pct,surprise_pct,reported_eps,estimated_eps,close,today_change_pct,net_premium,put_call_ratio,iv_rank,floor_alert_count,repeat_hit_count,sweep_floor_count,is_sp500,market_cap,sector,pec_score,pec_signal
2026-08-07,MARA,2026-08-06,1,-0.0526,-25.0,,,10.09,0.0,-2589617.0,0.34055803219249914,36.5476,0,0,0,False,3897759907.0,Financial Services,3,True
2026-08-07,AKAM,2026-08-06,1,-0.0676,-28.89,,,110.54,0.0,-1470239.0,0.59623190625718,43.6527,0,0,0,False,15886433959.0,Technology,3,True
2026-08-07,AQN,2026-08-07,0,-0.0017,-20.0,,,5.74,0.0,-311.0,0.0,48.2201,0,0,0,False,4410337145.0,Utilities,1,True
2026-08-07,AGO,2026-08-06,1,-0.0865,-25.9,,,75.43,0.0,-228488.0,0.6159052453468697,44.7379,0,0,0,False,3317351659.0,Financial Services,1,True
2026-08-07,RAPP,2026-08-05,2,-0.0186,-27.96,,,45.49,0.0,-8181.0,0.11764705882352941,11.3997,0,0,0,False,2182532230.0,Healthcare,1,True
2026-08-07,GRND,2026-08-06,1,-0.0332,-28.57,,,16.58,0.0,-3751.0,0.030499075785582256,35.72,0,0,0,False,2881945996.0,Technology,1,True
2026-08-07,HE,2026-08-07,0,-0.0072,-23.53,,,12.4,0.0,9183.0,0.27741935483870966,51.7423,0,0,0,False,2141827250.0,Utilities,0,False
2026-08-07,EFXT,2026-08-06,1,-0.0348,-24.24,,,19.96,0.0,197.0,0.0,18.7464,0,0,0,False,2431163509.0,Energy,0,False
2026-08-09,FLNC,2026-08-05,4,-0.149,-3.800,-0.24,-0.05,13.195,,,1.12,40.2,0,14,0,false,1889043544,Utilities,5,False
2026-08-09,DKNG,2026-08-06,3,0.084,-2.000,-0.08,0.08,24.03,,,0.20,43.9,0,15,0,false,11929790773,Consumer Cyclical,4,False
2026-08-09,PINS,2026-08-04,5,0.017,-2.000,-0.04,0.04,23.68,,,0.56,20.5,0,2,0,false,11655248829,Communication Services,3,False
2026-08-09,TTWO,2026-08-07,2,0.060,-3.250,-0.18,0.08,246.5,,,1.04,52.8,0,20,0,false,46090679200,Communication Services,2,False
2026-08-09,SLAB,2026-08-05,4,0.035,-3.940,-0.50,0.17,219.21,,,16.73,6.7,0,1,0,false,7229945420,Technology,1,False
2026-08-09,BEAM,2026-08-04,5,-0.022,-2.180,-3.40,1.00,27.48,,,0.85,41.0,0,0,0,false,2838345034,Healthcare,2,False
