ticker,report_date,report_time,reported_eps,estimated_eps,surprise_pct,sign_flip,pre_close,post_close,actual_move,implied_move,move_vs_implied,net_premium,iv_rank,fwd_5d,fwd_10d,fwd_21d,bucket
HD,2024-08-13,premarket,4.67,4.545,2.75,False,345.81,350.07,0.0123,0.0422,0.29,-449256.0,34.116382003992655,0.0491,0.066,0.0696,up
CSCO,2024-08-14,postmarket,0.71,0.852,-16.67,False,45.44,48.53,0.068,0.0567,1.2,2063542.0,11.142500957752528,0.0348,0.0383,0.0515,up
AMAT,2024-08-15,postmarket,2.12,2.013,5.32,False,211.83,207.9,-0.0186,0.046,0.4,-1850114.0,28.243947329816432,-0.0252,-0.0512,-0.0929,orderly
COHR,2024-08-15,postmarket,0.45,0.598,-24.75,False,71.28,76.63,0.0751,0.1028,0.73,-94612.0,8.788667133251272,0.0359,0.0172,0.0168,up
PANW,2024-08-19,postmarket,0.85,1.409,-39.67,False,171.68,184.01,0.0718,0.0842,0.85,19992095.0,19.97683827250019,-0.0484,-0.0594,-0.0935,up
MDT,2024-08-20,premarket,1.23,1.197,2.76,False,84.82,85.38,0.0066,0.0329,0.2,126327.0,11.934487671763684,0.0401,0.0662,0.0479,up
ADI,2024-08-21,premarket,1.58,1.5,5.33,False,223.49,227.5,0.0179,0.0432,0.42,-1400265.0,25.803468581166648,-0.0015,-0.0371,-0.0032,up
TGT,2024-08-21,premarket,2.57,2.175,18.16,False,144.33,159.25,0.1034,0.066,1.57,9908163.0,17.48949914600362,-0.015,-0.0462,-0.0283,up
INTU,2024-08-22,postmarket,0.61,1.855,-67.12,False,665.29,619.85,-0.0683,0.0456,1.5,-56043.0,11.464603619924668,0.0168,0.0115,0.0296,capitulation
CRM,2024-08-28,postmarket,1.92,2.353,-18.4,False,258.9,257.01,-0.0073,0.0689,0.11,-2832708.0,21.091711169440405,-0.0507,-0.0095,0.065,orderly
CRWD,2024-08-28,postmarket,0.24,0.979,-75.49,False,66.05,67.92,0.0283,0.0824,0.34,5421257.0,27.713108936575555,-0.0931,-0.0461,0.0324,up
HPQ,2024-08-28,postmarket,0.83,0.855,-2.92,False,34.76,35.46,0.0201,0.0676,0.3,74746.0,18.714948867662947,-0.0462,-0.0603,0.0116,up
NVDA,2024-08-28,postmarket,0.65,0.637,2.04,False,125.61,117.59,-0.0638,0.092,0.69,-32978947.0,35.72357402504452,-0.1255,0.0128,0.0327,orderly
DELL,2024-08-29,postmarket,1.69,1.736,-2.65,False,110.74,115.54,0.0433,0.0863,0.5,1589645.0,32.92644457088033,-0.0835,-0.0012,-0.0206,up
LULU,2024-08-29,postmarket,3.15,2.916,8.02,False,259.01,259.47,0.0018,0.0876,0.02,-1483037.0,31.46177327774927,-0.042,0.0225,0.0269,up
MRVL,2024-08-29,postmarket,0.12,0.293,-59.04,False,69.84,76.24,0.0916,0.0747,1.23,-412518.0,14.524093354617612,-0.0959,-0.0373,-0.0778,up
CIEN,2024-09-04,premarket,0.13,0.261,-50.19,False,55.35,54.93,-0.0076,0.0851,0.09,-8168.0,29.40232740385054,-0.0297,0.0269,0.1879,miss
CPRT,2024-09-04,postmarket,0.33,0.367,-10.08,False,53.05,49.51,-0.0667,0.0529,1.26,365568.0,35.152265080123975,-0.0008,0.0463,0.0685,overreaction
HPE,2024-09-04,postmarket,0.45,0.464,-3.02,False,18.77,17.64,-0.0602,0.078,0.77,375313.0,27.764813108281444,-0.0442,0.0686,0.1689,orderly
AVGO,2024-09-05,postmarket,1.24,1.198,3.51,False,152.82,137.0,-0.1036,0.0531,1.95,-11459147.0,49.48174244281288,0.2241,0.249,0.278,overreaction
ORCL,2024-09-09,postmarket,1.18,1.322,-10.74,False,139.89,155.89,0.1144,0.0669,1.71,3112455.0,22.4536417122382,0.0743,0.0636,0.1437,up
ADBE,2024-09-12,postmarket,3.81,4.528,-15.86,False,586.55,536.87,-0.0847,0.0596,1.42,-11587161.0,11.653618578673012,-0.0271,-0.0398,-0.0507,overreaction
GIS,2024-09-18,premarket,1.07,1.05,1.9,False,74.5,75.01,0.0068,0.0334,0.21,-122758.0,18.982616207140133,-0.0167,-0.0228,-0.0577,up
MU,2024-09-25,postmarket,0.99,1.097,-9.75,False,95.77,109.88,0.1473,0.0854,1.72,35720371.0,36.57220565375214,-0.0734,-0.0381,-0.0179,up
ACN,2024-09-26,premarket,2.79,2.77,0.72,False,337.05,355.81,0.0557,0.0482,1.16,585863.0,9.646261577379025,0.0153,0.0148,0.014,up
COST,2024-09-26,postmarket,5.15,5.046,2.06,False,901.44,885.62,-0.0175,0.034,0.52,-3996602.0,37.75232869387473,-0.0028,0.0039,0.006,orderly
CCL,2024-09-30,premarket,1.27,1.166,8.92,False,18.54,18.48,-0.0032,0.0731,0.04,-1030295.0,35.69093257455343,-0.0254,0.0936,0.1959,orderly
NKE,2024-10-01,postmarket,0.7,0.514,36.19,False,89.13,83.1,-0.0677,0.0628,1.08,-1853451.0,17.692067874605506,-0.0078,0.0101,-0.0718,overreaction
PEP,2024-10-08,premarket,2.31,2.3,0.43,False,167.21,170.42,0.0192,0.0278,0.69,-300665.0,39.38026328269172,0.0322,0.0232,-0.0335,up
DAL,2024-10-10,premarket,1.5,1.556,-3.6,False,50.98,50.29,-0.0135,0.0496,0.27,446866.0,46.237758845612234,0.0988,0.0891,0.214,orderly
JPM,2024-10-11,premarket,4.37,4.022,8.65,False,212.84,222.29,0.0444,0.0254,1.75,5213089.0,36.26061727192528,0.0139,0.0001,0.0765,up
BAC,2024-10-15,premarket,0.81,0.776,4.38,False,41.91,42.14,0.0055,0.0331,0.17,-2649257.0,47.2893688950619,0.0038,0.0093,0.0885,up
C,2024-10-15,premarket,1.51,1.344,12.35,False,66.01,62.64,-0.0511,0.0294,1.74,4442861.0,54.00700945424714,0.0147,0.0327,0.0998,overreaction
GS,2024-10-15,premarket,8.4,6.845,22.72,False,522.75,522.38,-0.0007,0.0271,0.03,-1211703.0,53.24775601397831,-0.0078,0.0036,0.1375,orderly
IBKR,2024-10-15,postmarket,1.75,1.75,0.0,False,38.24,36.7,-0.0403,0.04,1.01,13604.0,35.92073104125989,0.0044,0.0507,0.212,overreaction
JNJ,2024-10-15,premarket,2.42,2.217,9.16,False,161.6,164.1,0.0155,0.0224,0.69,387454.0,46.40435486936873,-0.004,-0.0244,-0.0662,up
SCHW,2024-10-15,premarket,0.77,0.748,2.94,False,67.82,71.96,0.061,0.0498,1.22,-1551699.0,32.86633678194479,-0.0146,-0.001,0.0874,up
UNH,2024-10-15,premarket,7.15,7.015,1.92,False,605.4,556.29,-0.0811,0.0368,2.2,-8413276.0,57.28475055350588,0.0244,0.0105,0.0891,overreaction
KMI,2024-10-16,postmarket,0.25,0.27,-7.41,False,24.93,24.82,-0.0044,0.0303,0.15,-34446.0,63.66699845891511,0.0068,-0.0125,0.0987,orderly
BX,2024-10-17,premarket,1.01,0.911,10.87,False,159.71,169.73,0.0627,0.0331,1.89,4925897.0,39.70572732344693,-0.0004,-0.0117,0.0688,up
MS,2024-10-17,premarket,1.88,1.57,19.75,False,119.51,119.44,-0.0006,0.0154,0.04,1067096.0,28.658797103664135,-0.0023,-0.0267,0.1224,orderly
NFLX,2024-10-17,postmarket,5.4,5.09,6.09,False,68.77,76.39,0.1108,0.062,1.79,82262085.0,10.178163972348266,-0.012,-0.0102,0.1089,up
AXP,2024-10-18,premarket,3.49,3.266,6.86,False,285.78,276.79,-0.0315,0.0419,0.75,-3166464.0,42.242905018490994,-0.0341,-0.0148,0.0316,orderly
PG,2024-10-18,premarket,1.93,1.898,1.69,False,172.28,171.28,-0.0058,0.0235,0.25,-92442.0,50.76150410564963,-0.0179,-0.0361,-0.0031,orderly
SLB,2024-10-18,premarket,0.89,0.883,0.79,False,43.99,41.92,-0.0471,0.0254,1.85,114558.0,62.902291263890824,-0.0043,-0.0515,0.0375,overreaction
CSGP,2024-10-22,postmarket,0.18,0.163,10.43,False,76.87,72.82,-0.0527,0.0824,0.64,780484.0,46.15861333059583,0.0088,0.0282,0.0574,orderly
GE,2024-10-22,premarket,1.15,1.13,1.77,False,194.23,176.66,-0.0905,0.042,2.15,-5220091.0,54.43718721692265,-0.0148,-0.0079,0.0075,overreaction
GM,2024-10-22,premarket,2.96,2.493,18.73,False,48.93,53.73,0.0981,0.05,1.96,2223571.0,42.08459654346356,-0.0408,-0.0006,0.0212,up
TXN,2024-10-22,postmarket,1.47,1.364,7.77,False,193.97,201.74,0.0401,0.0457,0.88,4487001.0,43.371242375709436,0.0307,0.0656,-0.0175,up
APH,2024-10-23,premarket,0.5,0.446,12.11,False,66.85,68.47,0.0242,0.0724,0.33,-454104.0,61.10169769247457,-0.0016,0.054,0.0697,up
BA,2024-10-23,premarket,-10.44,-10.337,-1.0,False,159.88,157.06,-0.0176,0.0463,0.38,-10708401.0,76.7796165074487,-0.0176,-0.063,-0.0869,orderly
BSX,2024-10-23,premarket,0.63,0.585,7.69,False,88.01,87.45,-0.0064,0.0541,0.12,358507.0,48.694736216999324,-0.0396,-0.0115,0.0463,orderly
GEV,2024-10-23,premarket,0.35,0.224,56.25,False,276.42,279.88,0.0125,0.0527,0.24,-1468167.0,28.35648406997081,0.0633,0.2016,0.2143,up
IBM,2024-10-23,postmarket,2.3,2.265,1.55,False,232.75,218.39,-0.0617,0.0496,1.24,-811525.0,34.12493508560643,-0.0534,-0.0215,0.021,overreaction
KO,2024-10-23,premarket,0.77,0.743,3.63,False,69.45,68.01,-0.0207,0.0215,0.97,-159760.0,65.56160417652308,-0.0307,-0.0634,-0.0625,orderly
LRCX,2024-10-23,postmarket,0.86,0.8,7.5,False,72.86,76.57,0.0509,0.0595,0.86,-964529.0,59.66637999264636,-0.029,0.0345,-0.0513,up
NEE,2024-10-23,premarket,1.03,1.057,-2.55,False,83.7,84.96,0.0151,0.0371,0.41,-309280.0,66.84851838375423,-0.0691,-0.1229,-0.0895,up
NEM,2024-10-23,postmarket,0.81,0.833,-2.76,False,57.74,49.25,-0.147,0.039,3.77,-3260524.0,39.95718713726094,-0.0774,-0.083,-0.1192,overreaction
NOW,2024-10-23,postmarket,2.17,3.463,-37.34,False,181.54,191.32,0.0539,0.0545,0.99,3247619.0,27.384163156689738,-0.0247,0.0614,0.1087,up
T,2024-10-23,premarket,0.6,0.586,2.39,False,21.5,22.49,0.046,0.0427,1.08,138295.0,26.803547659051986,-0.0209,-0.0076,0.0218,up
TSLA,2024-10-23,postmarket,0.62,0.584,6.16,False,213.65,260.48,0.2192,0.0684,3.2,323533420.0,42.13314633592588,-0.0408,0.1399,0.3535,up
COF,2024-10-24,postmarket,4.51,3.701,21.86,False,153.26,161.27,0.0523,0.0394,1.33,4045556.0,65.83074343194725,0.0163,0.1484,0.1899,up
DOW,2024-10-24,premarket,0.47,0.464,1.29,False,51.49,50.99,-0.0097,0.0261,0.37,-161044.0,62.0465641563757,-0.0316,-0.041,-0.1085,orderly
F,2024-10-28,postmarket,0.49,0.494,-0.81,False,11.37,10.41,-0.0844,0.0736,1.15,-3300461.0,34.56730546312585,0.0183,0.0663,0.0663,overreaction
ON,2024-10-28,premarket,0.99,0.971,1.96,False,71.25,72.24,0.0139,0.0788,0.18,2423650.0,47.128827045659996,-0.0379,-0.0316,-0.0197,up
AMD,2024-10-29,postmarket,0.76,0.908,-16.3,False,166.25,148.6,-0.1062,0.0698,1.52,-35258120.0,41.698916722590845,-0.0236,-0.0626,-0.0769,overreaction
CMG,2024-10-29,postmarket,0.27,0.252,7.14,False,60.49,55.73,-0.0787,0.0745,1.06,-1344919.0,39.87857822253116,0.0352,0.0635,0.1039,overreaction
EIX,2024-10-29,postmarket,1.51,1.388,8.79,False,83.14,83.24,0.0012,0.0419,0.03,63230.0,55.95185504142122,-0.0249,-0.0127,0.0542,up
FSLR,2024-10-29,postmarket,2.91,3.104,-6.25,False,199.67,197.5,-0.0109,0.0624,0.17,1643481.0,86.27067121562655,-0.0176,-0.0778,0.009,orderly
GLW,2024-10-29,premarket,0.54,0.524,3.05,False,46.84,49.03,0.0468,0.0512,0.91,-53180.0,46.67633953299263,-0.0357,-0.0145,-0.0165,up
GOOGL,2024-10-29,postmarket,2.12,1.833,15.66,False,169.68,174.46,0.0282,0.0565,0.5,2125269.0,36.16825051931597,0.0118,0.0253,-0.0316,up
MCD,2024-10-29,premarket,3.23,3.181,1.54,False,296.79,295.0,-0.006,0.0301,0.2,-551985.0,42.01973296812014,0.0079,0.0124,0.0003,orderly
PFE,2024-10-29,premarket,1.06,0.635,66.93,False,28.86,28.46,-0.0139,0.0337,0.41,-958395.0,39.847281758284396,-0.0165,-0.0798,-0.0924,orderly
PYPL,2024-10-29,premarket,1.2,1.079,11.21,False,83.59,80.28,-0.0396,0.077,0.51,-3210400.0,19.427938963001512,-0.0128,0.0762,0.0784,orderly
ABBV,2024-10-30,premarket,3.0,2.922,2.67,False,189.45,201.5,0.0636,0.0331,1.92,478494.0,78.1330504819355,-0.0015,-0.1546,-0.0922,up
