entry_bar,exit_bar,symbol,direction,size,entry_price,exit_price,exit_rule,pnl_dollars,pnl_r
2026-02-18|1,2026-02-19|0,WMT,short,219,126.60,128.88,6.1 trailing stop,-500.00,-1.000
2026-02-24|0,2026-02-25|1,RGLD,long,47,291.56,287.24,6.1 trailing stop,-206.34,-0.413
2026-02-26|1,2026-02-27|0,JPM,long,196,306.17,300.00,6.1 trailing stop,-1214.57,-2.429
2026-02-26|1,2026-02-27|0,UNH,long,326,286.75,284.70,6.1 trailing stop,-669.93,-1.340
2026-02-26|1,2026-02-27|0,WMT,short,170,124.41,127.34,6.1 trailing stop,-500.00,-1.000
2026-02-27|1,2026-03-02|0,NEM,long,442,130.02,128.89,6.1 trailing stop,-500.00,-1.000
2026-02-27|1,2026-03-02|0,RGLD,long,73,299.87,293.09,6.1 trailing stop,-500.00,-1.000
2026-03-04|0,2026-03-05|0,JPM,short,166,298.01,301.01,6.1 trailing stop,-500.00,-1.000
2026-03-06|1,2026-03-09|1,CAT,short,31,680.60,696.34,6.1 trailing stop,-35.58,-0.071
2026-03-09|0,2026-03-09|1,JPM,short,161,285.21,288.30,6.1 trailing stop,-500.00,-1.000
2026-03-09|0,2026-03-09|1,XOM,long,241,151.72,149.65,6.1 trailing stop,-500.00,-1.000
2026-03-10|1,2026-03-12|0,UNH,short,95,282.38,284.77,6.2 migration reversal (next open),-229.37,-0.459
2026-03-13|0,2026-03-16|0,CAT,short,35,693.00,705.37,6.1 trailing stop,-443.69,-0.887
2026-03-13|0,2026-03-16|0,XOM,long,131,155.41,155.84,6.1 trailing stop,56.73,0.113
2026-03-13|1,2026-03-17|0,RGLD,short,39,259.07,254.82,6.3 failed auction (next open),220.93,0.442
2026-03-17|0,2026-03-18|0,UNH,long,416,286.03,285.20,6.2 migration reversal (next open),118.75,0.238
2026-03-19|1,2026-03-23|0,DIS,short,318,99.22,100.22,6.3 failed auction (next open),-318.47,-0.637
2026-03-20|0,2026-03-23|0,NEM,short,141,96.34,96.21,6.1 trailing stop,143.36,0.287
2026-03-20|0,2026-03-23|0,RGLD,short,70,218.91,219.88,6.1 trailing stop,115.49,0.231
2026-03-24|1,2026-03-26|0,WMT,long,310,122.09,122.97,6.1 trailing stop,273.29,0.547
2026-03-25|1,2026-03-30|0,DIS,short,409,95.97,92.89,6.1 trailing stop,795.08,1.590
2026-04-01|1,2026-04-02|1,UNH,long,157,273.93,276.14,6.1 trailing stop,366.35,0.733
2026-04-02|0,2026-04-06|0,NEM,long,97,113.93,113.62,6.1 trailing stop,-30.16,-0.060
2026-04-02|0,2026-04-06|0,RGLD,long,53,261.39,262.24,6.1 trailing stop,45.21,0.090
2026-04-02|1,2026-04-06|0,XOM,short,80,160.67,162.23,6.2 migration reversal,-125.00,-0.250
2026-04-08|1,2026-04-10|0,JPM,long,185,308.01,310.00,6.1 trailing stop,369.89,0.740
2026-04-08|1,2026-04-09|0,NEM,long,303,118.15,118.52,6.3 failed auction,112.12,0.224
2026-04-09|1,2026-04-10|0,CAT,long,35,787.22,789.77,6.3 failed auction,229.11,0.458
2026-04-10|1,2026-04-13|0,NEM,long,375,120.84,118.22,6.1 trailing stop,-984.96,-1.970
2026-04-13|1,2026-04-14|1,XOM,short,909,152.56,148.96,6.1 trailing stop,1840.91,3.682
2026-04-16|0,2026-04-16|1,CAT,short,72,764.04,770.92,6.1 trailing stop,-500.00,-1.000
2026-04-20|1,2026-04-21|1,CAT,long,73,798.48,807.74,6.1 trailing stop,508.88,1.018
2026-04-21|1,2026-04-23|0,WMT,long,234,129.60,130.57,6.3 failed auction (next open),227.70,0.455
2026-04-22|1,2026-04-23|0,RGLD,short,62,251.43,251.91,6.2 migration reversal,-29.58,-0.059
2026-04-23|0,2026-04-24|0,XOM,long,657,149.16,149.64,6.1 trailing stop,404.61,0.809
2026-04-28|1,2026-04-29|1,RGLD,short,79,236.85,232.09,6.1 trailing stop,317.05,0.634
2026-04-29|0,2026-04-30|0,UNH,long,155,368.21,368.19,6.1 trailing stop,134.74,0.269
2026-04-30|1,2026-05-01|0,XOM,long,163,154.39,151.33,6.1 trailing stop,-500.00,-1.000
2026-05-01|0,2026-05-01|1,WMT,long,1388,131.80,131.44,6.1 trailing stop,-500.00,-1.000
2026-05-04|1,2026-05-05|0,NEM,short,214,108.33,110.66,6.1 trailing stop,-500.00,-1.000
2026-05-05|1,2026-05-06|0,DIS,short,406,100.51,106.52,6.1 trailing stop,-2443.09,-4.886
