date,ticker,close,ret_21d,ret_63d,net_prem_5d,flow_z,flow_state,dp_prints,dp_premium,dp_largest,dp_at_or_above_close,gex_call_gamma,gex_put_gamma,gex_net_gamma
2026-08-07,NVDA,223.96,0.1044,0.0589,40194536.0,1.26,normal,,,,,7030090.0,-2379984.0,4650106.0
2026-08-07,PLTR,172.01,0.333,0.2551,40895602.0,3.13,euphoria,,,,,1686845.0,-644209.0,1042636.0
2026-08-07,TSLA,328.58,-0.1918,-0.2021,-2938641.0,0.32,normal,,,,,1269593.0,-830624.0,438969.0
2026-08-07,JPM,357.52,0.0657,0.1673,-838973.0,-0.85,normal,,,,,302308.0,-146310.0,155998.0
2026-08-07,NEE,84.65,-0.0281,-0.0929,-301209.0,-0.32,normal,,,,,549741.0,-615374.0,-65633.0
2026-08-10,NVDA,223.85,0.0611,0.0402,26227377.0,0.83,normal,47,92632753.0,9265780.0,0.0,5596954.0,-2333325.0,3263629.0
2026-08-10,TSLA,330.25,-0.1901,-0.229,-6824715.0,0.24,normal,50,91828658.0,5774029.0,0.74,1022406.0,-729779.0,292627.0
2026-08-10,PLTR,178.15,0.4051,0.2928,44717297.0,3.39,euphoria,50,87103742.0,3880200.0,0.98,1094463.0,-422326.0,672137.0
2026-08-10,JPM,357.6,0.0628,0.1837,-1391956.0,-1.2,normal,50,378157548.0,80167500.0,0.58,265174.0,-107251.0,157923.0
2026-08-10,NEE,84.6,-0.0382,-0.0913,-250544.0,-0.32,normal,50,443858046.0,179080688.0,0.62,539908.0,-552501.0,-12593.0
