bar,o,h,l,c,vol,prof
2026-02-02|0,104.01,108.61,103.75,106.11,21340153,"1045:6092,1047:5761,1048:2649,1049:10074,1050:11930,1051:15971,1052:2961,1053:3817,1054:16460,1055:6304,1056:5788,1057:11561,1058:3922,1059:2268,1060:16758,1061:7853,1062:6467,1063:4252,1064:6832,1065:2332,1066:6017,1067:3050,1068:3212,1069:843,1070:983,1071:1088,1072:4801,1073:6456,1074:2703,1075:5903,1076:4512,1077:5472,1078:4432,1079:1080,1080:697,1081:5013,1082:3499,1083:1940,1084:652,1085:978"
2026-02-02|1,106.1,106.17,104.37,104.57,12550296,"1045:22370,1046:22519,1047:6401,1048:8648,1049:18457,1050:13701,1051:12615,1052:9302,1053:6663,1054:2220,1056:372,1057:1047,1058:607,1060:576"
2026-02-03|0,104.78,104.99,102.34,104.06,11776180,"1024:1952,1025:8313,1026:10683,1027:10195,1028:9323,1029:11631,1030:12314,1031:13119,1032:6866,1033:961,1034:3146,1035:2764,1036:2162,1037:3639,1038:5344,1039:4463,1040:10879"
2026-02-03|1,104.08,104.98,103.12,104.24,9725370,"1031:686,1032:1248,1033:3116,1034:5566,1035:7819,1036:8428,1037:7981,1038:11106,1039:11623,1040:5787,1041:3428,1042:11445,1043:4196,1044:3879,1045:3365,1046:3286,1047:574,1048:2704,1049:1007"
2026-02-04|0,104.2,108.6,103.63,107.45,9146723,"1037:741,1039:1477,1040:1196,1041:413,1042:2374,1043:433,1048:854,1049:400,1051:1245,1053:3699,1054:797,1055:515,1057:1248,1058:1361,1059:3007,1060:1923,1061:1580,1062:672,1064:1485,1066:801,1067:1208,1068:2283,1069:2088,1070:2480,1072:1370,1073:1262,1074:2217,1075:1360,1076:5916,1077:4880,1078:11381,1079:4963,1080:8073,1081:3780,1082:6694,1083:2671,1084:1865,1085:736"
2026-02-04|1,107.47,108.54,107.0,107.07,6716135,"1070:880,1071:5833,1072:6820,1073:4038,1074:9239,1075:8412,1076:11458,1077:3760,1078:1933,1079:2303,1080:1160,1081:3174,1082:3049,1083:3680,1084:1414"
2026-02-05|0,107.05,108.33,104.81,105.58,4560934,"1048:673,1049:144,1050:2417,1051:2675,1052:5770,1053:2322,1054:3950,1055:2506,1056:2278,1057:3184,1058:959,1059:172,1060:413,1061:292,1062:1156,1063:1261,1064:1160,1065:1881,1066:494,1067:404,1068:1191,1069:3446,1070:424,1071:2509,1072:922,1073:469,1074:531,1076:395,1079:1218,1081:377"
2026-02-05|1,105.58,105.71,104.94,104.98,4662308,"1050:5585,1051:5739,1052:11727,1053:9320,1054:5555,1055:7741,1056:952"
2026-02-06|0,106.13,108.71,105.37,108.61,5075446,"1060:2331,1061:253,1062:677,1063:1719,1064:1143,1065:1907,1066:2973,1067:3584,1068:1477,1069:3399,1070:5165,1071:4270,1072:2771,1073:669,1074:418,1075:1368,1076:1362,1077:2163,1078:4824,1079:1415,1080:2566,1081:203,1082:630,1083:344,1084:269,1085:2303,1086:539"
2026-02-06|1,108.61,108.96,107.98,108.69,5100172,"1080:2136,1081:4139,1082:6253,1083:4469,1084:14168,1085:9979,1086:1165,1087:5808,1088:2148,1089:731"
2026-02-09|0,108.69,108.92,107.17,107.66,3410571,"1072:1312,1073:1851,1074:2578,1075:2914,1076:4394,1077:6958,1078:5351,1079:1369,1080:3248,1081:1032,1082:194,1084:680,1085:26,1087:2192"
2026-02-09|1,107.66,107.66,106.77,107.06,4599247,"1068:4936,1069:8024,1070:10348,1071:8805,1072:7152,1073:2134,1074:306,1075:3416,1076:867"
2026-02-10|0,107.6,111.11,107.6,110.22,4779380,"1077:1761,1083:388,1084:315,1085:378,1086:901,1087:721,1088:1303,1089:452,1090:1734,1091:367,1093:243,1094:534,1096:1252,1097:463,1098:292,1099:2720,1100:1781,1101:5731,1102:4122,1103:4243,1104:2636,1105:2729,1106:5886,1107:2660,1108:2815,1109:251,1110:1104"
2026-02-10|1,110.24,110.5,109.68,109.97,3408357,"1097:356,1098:1188,1099:4816,1100:8411,1101:5304,1102:7584,1103:4042,1104:2379"
2026-02-11|0,108.93,109.87,108.35,108.99,3811357,"1084:2910,1085:4536,1086:9437,1087:4966,1088:2000,1089:4747,1090:2025,1091:4455,1092:1142,1093:193,1094:554,1095:395,1096:747"
2026-02-11|1,109.0,109.06,107.8,108.11,4147524,"1078:520,1079:1369,1080:1244,1081:4401,1082:6709,1083:3462,1084:3440,1085:6083,1086:1256,1087:2174,1088:4796,1089:5324,1090:692"
2026-02-12|0,107.93,108.16,101.02,101.68,14087298,"1011:8592,1012:8744,1013:5116,1014:10469,1015:16318,1016:2945,1017:5722,1018:3054,1019:2317,1020:7644,1021:4574,1022:2948,1024:4307,1025:5738,1027:1387,1030:1883,1032:584,1033:5704,1034:4100,1035:1108,1038:1568,1039:965,1041:2175,1043:1161,1045:704,1048:1783,1050:1794,1051:1881,1053:1480,1054:2898,1055:1272,1056:4560,1057:1947,1058:1694,1063:491,1064:1533,1065:2660,1067:704,1068:995,1069:1691,1070:673,1073:1141,1078:1779,1079:47"
2026-02-12|1,101.67,103.29,101.55,102.34,9045799,"1015:153,1016:934,1017:4686,1018:4279,1019:2086,1020:3096,1021:2219,1022:3558,1023:9811,1024:4162,1025:14220,1026:16869,1027:9042,1028:3542,1029:2905,1030:5052,1031:2174,1032:1661"
