bar,o,h,l,c,vol,prof
2026-02-02|0,119.5,123.4,119.05,123.28,9539898,"916:1887,917:406,920:778,921:4145,923:3163,924:3030,926:2803,927:3637,928:5144,929:2144,930:3598,931:2026,932:6411,933:1357,934:4442,935:2536,936:3287,937:3528,938:5463,939:4801,940:1500,941:2079,942:188,943:857,944:2529,945:1471,946:6440,947:8784,948:6951"
2026-02-02|1,123.29,124.2,122.95,124.06,10101616,"946:3990,947:2336,948:11171,949:15842,950:8149,951:11857,952:13698,953:10832,954:23137"
2026-02-03|0,123.65,128.13,123.65,128.1,14017929,"953:6086,955:1179,957:1982,960:1547,961:1243,962:8354,963:2553,964:4353,965:5798,966:4463,967:1638,968:8220,969:6751,970:3734,971:5634,972:6470,973:6948,974:4579,975:11593,976:5855,977:4729,978:2887,979:2426,980:4519,981:5142,982:3111,983:8710,984:6954,985:2707"
2026-02-03|1,128.09,128.16,126.42,127.75,12889398,"972:437,973:3517,974:8597,975:6844,976:11438,977:20470,978:19592,979:4832,980:5045,981:12335,982:11432,983:12430,984:7886,985:4033"
2026-02-04|0,128.13,129.41,127.09,128.85,11150290,"978:1594,979:2078,980:1038,981:576,982:6501,983:10032,984:15438,985:17112,986:12275,987:9402,988:6822,989:5359,990:3230,991:6557,992:4187,993:5961,994:2606,995:727"
2026-02-04|1,128.86,129.13,127.72,128.02,9701444,"982:1145,983:7349,984:20515,985:5481,986:15153,987:10332,988:11353,989:10311,990:10394,991:3089,992:1887"
2026-02-05|0,128.58,129.6,126.96,127.22,15269062,"977:4653,978:7867,979:4993,980:2389,981:3919,982:5905,983:2619,984:2520,985:2944,986:3260,987:1470,988:14810,989:34119,990:21891,991:15334,992:9556,993:4225,994:3406,995:6270,996:532"
2026-02-05|1,127.22,127.68,126.56,126.93,9588610,"974:4249,975:3020,976:16573,977:19579,978:21858,979:15454,980:9742,981:5407"
2026-02-06|0,127.29,130.6,127.05,129.59,9942147,"978:4538,982:3283,984:2590,985:6462,986:4708,987:5451,988:4092,989:6404,990:7295,991:8006,992:1240,993:3941,994:1436,995:2598,996:2876,997:4435,998:8379,999:5755,1000:3811,1001:3059,1002:5266,1003:3180,1004:605"
2026-02-06|1,129.59,131.7,129.59,131.18,9426851,"996:296,997:484,998:573,999:3121,1000:5930,1001:11103,1002:7848,1003:7610,1004:4372,1005:1979,1006:7552,1007:6927,1008:6216,1009:12924,1010:11386,1011:1536,1012:4404"
2026-02-09|0,131.42,131.79,128.09,128.75,9319815,"985:1042,986:1823,987:2291,988:2668,989:5347,990:5355,991:376,992:1373,993:1497,994:3357,995:1043,996:4939,997:9301,998:1421,999:2260,1000:4151,1001:1945,1002:4616,1003:6787,1004:7994,1005:4609,1006:1427,1007:5124,1008:6184,1009:1123,1010:4350,1011:780"
2026-02-09|1,128.74,129.19,128.13,128.97,6946865,"985:697,986:4260,987:5722,988:9154,989:10385,990:19457,991:4408,992:10591,993:4791"
2026-02-10|0,128.94,129.34,126.81,127.21,7181186,"975:930,976:4770,977:8429,978:5775,979:10217,980:1987,981:3011,982:5189,983:2889,984:2829,985:1523,986:1289,987:3250,988:1275,989:1053,990:1873,991:4965,992:7666,993:2883"
2026-02-10|1,127.22,127.33,126.39,126.76,6393430,"973:6917,974:12284,975:3852,976:13164,977:17493,978:3809,979:248,981:6162"
2026-02-11|0,126.69,129.5,126.63,129.5,7591258,"976:3374,977:937,978:776,979:1311,980:959,981:1227,982:2789,983:8735,984:21182,985:8359,986:3865,987:1552,988:6338,989:2890,990:4997,991:1330,992:945,993:577,994:1716,995:1872,996:169"
2026-02-11|1,129.5,129.74,128.68,128.78,7499984,"985:531,990:9950,991:16087,992:13179,993:16659,994:11178,995:3567,996:2649,997:1196"
2026-02-12|0,129.38,133.88,129.31,132.42,12574470,"996:3214,1000:1809,1004:711,1006:2578,1008:1084,1010:1699,1011:3512,1012:4608,1013:5006,1014:3684,1015:4599,1016:2463,1017:5237,1018:6680,1019:4103,1020:2497,1021:7722,1022:9443,1023:11776,1024:2091,1025:3531,1026:10971,1027:13337,1028:13376"
2026-02-12|1,132.41,134.49,132.38,133.64,11849673,"1018:701,1019:1633,1020:2382,1021:1333,1022:5933,1023:7443,1024:4235,1025:7579,1026:5680,1027:24816,1028:5405,1029:12434,1030:7163,1031:11630,1032:11994,1033:5991,1034:2136"
2026-02-13|0,132.7,134.44,131.75,134.31,10912547,"1013:496,1014:1582,1015:7260,1016:9054,1017:3195,1018:5059,1019:9794,1020:12636,1021:5018,1022:1602,1023:1717,1024:3558,1025:6852,1026:5373,1028:494,1029:4164,1030:12651,1031:8980,1032:9424,1033:208"
2026-02-13|1,134.31,134.65,133.57,133.9,7212260,"1027:1123,1028:5185,1029:16792,1030:12476,1031:5552,1032:5349,1033:7044,1034:13782,1035:4815"
2026-02-17|0,133.11,134.69,128.79,128.81,15165415,"991:6761,992:8394,993:12235,994:8027,995:5670,996:4635,997:1236,998:3779,1000:1584,1001:4196,1002:6625,1003:8428,1004:8752,1005:6876,1006:1061,1007:2071,1008:1563,1010:2744,1011:1748,1012:2457,1013:2600,1015:3624,1016:3112,1017:1762,1018:840,1020:1982,1021:2592,1023:602,1024:4901,1025:1429,1026:1320,1027:9405,1028:3761,1029:7228,1030:1335,1031:1756,1033:4549"
2026-02-17|1,128.81,129.7,128.16,128.85,14216124,"986:6371,987:9537,988:18777,989:22281,990:31013,991:19331,992:10530,993:3568,994:7375,995:6773,996:6162,997:436"
2026-02-18|0,128.13,128.87,126.72,126.77,13013929,"975:10845,976:14731,977:13245,978:5666,979:4605,980:11430,981:10046,982:7930,983:7973,984:8339,985:5512,986:6022,987:9643,988:7837,989:4224,990:2084"
2026-02-18|1,126.78,127.06,125.77,126.6,18170455,"967:649,968:16393,969:27601,970:13071,971:14111,972:28650,973:36278,974:24923,975:11273,976:8418,977:333"
2026-02-19|0,128.5,130.1,125.85,127.02,19374455,"969:3228,970:6165,971:8311,972:4354,973:3460,974:5774,975:8144,976:4710,977:5308,978:2866,979:1998,980:2438,983:2790,984:2583,985:662,986:2030,987:2513,988:1716,989:13066,990:10792,991:27246,992:10421,993:15620,994:7040,995:8873,996:13084,997:6331,998:8994,999:3213"
2026-02-19|1,127.0,127.09,124.4,124.82,14206132,"958:15890,959:13383,960:28323,961:2764,963:2334,965:4981,966:1276,967:14549,968:13834,969:13849,970:6483,971:4304,972:2446,973:4269,974:4684,975:3792,976:3304,977:1588"
2026-02-20|0,123.0,123.48,121.15,121.56,18959848,"932:5898,933:7437,934:8121,935:13360,936:15093,937:18935,938:20311,939:16926,940:16803,941:8806,942:10371,943:11489,944:6972,945:7218,946:19020,947:2829"
2026-02-20|1,121.57,123.23,121.05,122.99,12313993,"931:1185,932:20243,933:3687,934:7171,935:13459,936:4288,937:697,938:3280,939:6563,941:4149,942:3358,943:2698,944:17150,945:21801,946:13403"
2026-02-23|0,123.52,126.35,122.96,125.28,11651661,"946:884,947:1001,948:1619,949:5742,950:5455,951:5114,952:529,953:3697,954:667,955:3100,956:626,957:1692,958:3730,959:1331,960:2388,961:4076,962:5684,963:6783,964:11394,965:5478,966:4679,967:10721,968:18276,969:6855,970:4321,971:664"
2026-02-23|1,125.28,126.8,125.25,125.84,9302998,"963:271,964:974,965:8163,966:7426,967:20768,968:3159,969:7079,970:5319,971:7291,972:9919,973:9835,974:11643,975:1176"
2026-02-24|0,125.9,128.04,124.91,127.05,8137188,"961:763,962:735,963:1834,964:669,965:1254,966:1272,967:830,968:995,969:4013,970:1996,971:1173,972:1420,973:2606,974:3174,975:3377,976:11028,977:15421,978:8205,979:1236,980:3697,981:3771,982:3566,983:6431,984:1894"
2026-02-24|1,127.05,127.2,126.36,126.75,6797820,"972:4105,973:13214,974:10246,975:19794,976:3159,977:12784,978:4673"
2026-02-25|0,126.61,127.4,125.42,126.28,7027078,"965:1336,966:415,967:1114,968:1158,969:4576,970:10765,971:15425,972:13456,973:3419,974:4312,975:4698,976:2569,977:3445,978:2037,979:1537"
2026-02-25|1,126.27,126.63,125.6,125.78,5212932,"966:4338,967:7642,968:10703,969:16177,970:7367,971:2048,972:2444,973:1406"
2026-02-26|0,125.98,127.33,124.22,124.39,6653880,"956:1951,957:10337,958:8899,959:7189,960:4385,961:1533,962:1054,963:3035,964:2926,965:1787,966:1180,967:2198,968:905,969:4403,970:1136,971:2978,972:1177,974:2053,975:1767,976:3437,977:1853,978:344"
2026-02-26|1,124.39,125.04,123.94,124.41,7443271,"953:12522,954:1091,955:10813,956:16746,957:6425,958:4173,959:4831,960:14645,961:3181"
