bar,o,h,l,c,vol,prof
2026-02-02|0,139.83,140.32,138.12,139.9,9365724,"921:1276,922:1416,923:2162,924:511,925:744,926:9190,927:16787,928:20485,929:18196,930:6797,931:2085,932:2760,933:10874,934:368"
2026-02-02|1,139.89,140.19,138.06,138.36,11105832,"920:745,921:4005,922:11526,923:17018,924:18401,925:21406,926:19646,927:5339,928:1350,929:2364,930:3895,931:2870,932:185,933:1426,934:875"
2026-02-03|0,138.64,145.01,138.31,144.22,15739768,"927:4252,928:2539,930:529,931:954,933:2358,934:2712,935:1581,936:2074,937:782,938:1875,939:4439,940:829,941:3567,942:4741,943:3797,944:6460,945:1978,946:1981,947:3068,948:1404,949:2549,950:509,952:3642,953:995,954:12208,955:11555,956:25395,957:10733,958:5507,959:3660,960:2584,961:5081,962:3851,963:6683,964:4012,965:4486,966:2010"
2026-02-03|1,144.2,144.87,142.44,143.71,16857401,"949:243,950:5963,951:4526,952:6810,953:19264,954:12172,955:27149,956:10978,957:23016,958:7373,959:8823,960:13239,961:6966,962:14153,963:4986,964:1584,965:1320"
2026-02-04|0,144.12,147.79,144.12,147.22,12501778,"961:253,964:3390,965:3932,966:12849,967:11013,968:11447,969:10153,970:6654,971:6698,972:1794,973:12311,974:2944,975:4181,976:1944,977:13006,978:3615,979:5047,981:354,982:4434,983:4221,984:4768"
2026-02-04|1,147.22,147.84,145.81,147.56,12387729,"972:1453,973:11005,974:10789,975:11993,976:10226,977:19006,978:8233,979:7970,980:4290,981:10534,982:8021,983:15236,984:5115"
2026-02-05|0,146.58,146.63,143.79,144.78,7626163,"959:3639,960:2601,961:5170,962:12697,963:7314,964:4746,965:4998,966:6850,967:2437,968:7230,969:4036,970:3360,971:3326,972:2498,973:5165,976:55,977:131"
2026-02-05|1,144.79,146.73,144.77,145.97,7566210,"965:717,966:2043,967:1790,968:9886,969:7397,970:2508,971:3843,972:12313,973:12584,974:6045,975:12431,976:2729,977:1369"
2026-02-06|0,146.62,149.57,146.09,149.33,7746364,"977:1717,978:3891,979:2375,980:2229,981:931,983:2282,984:518,986:477,987:1148,988:515,989:2250,990:3795,991:7778,992:11852,993:12577,994:13325,995:7760,996:2034"
2026-02-06|1,149.3,149.54,148.73,149.03,7390153,"991:151,992:10803,993:24455,994:16901,995:11506,996:8311,997:1771"
